"","Standardised","IPS Adjusted"
"140",0.0316061058190816,0.0567269218463628
"141",0.0315417610519545,0.05624085208684
"142",0.0313184261651271,0.0559359617328529
"143",0.0311379650849996,0.0557788361233116
"144",0.0308627265260151,0.0555981258770118
"145",0.0306493420177274,0.0554085942485351
"146",0.0305137377453752,0.0551680618414533
"147",0.0303950000993485,0.0547851908648561
"148",0.0301651323328978,0.0544068514788004
"149",0.0301124963560657,0.0541816194549862
"150",0.0298202363519565,0.0539729337857914
"151",0.0295585074669872,0.053703997919673
"152",0.0295067869692252,0.0532203909068102
"153",0.0294393282832313,0.0530471632314758
"154",0.0291996976576401,0.0525339945983517
"155",0.0291556842940146,0.0523692471164219
"156",0.0289954753348982,0.052236672711321
"157",0.0287881607153181,0.0517209571310229
"158",0.0286923508221709,0.0515008152370995
