"adat_SINs" "RedCap_SINs"
"144" "STEP2320-F-V1-R-HT1" "STEP2320-V1-F-R-HT1"
"145" "STEP1649-F-V1-HT1" "STEP1649-V1-F-HT1"
"146" "STEP1809-F-V1-HT1" "STEP1809-V1-F-HT1"
"147" "STEP1680-F-V1-HT1" "STEP1680-V1-F-HT1"
"148" "STEP2526-F-V1-R-HT1" "STEP2526-V1-F-R-HT1"
"149" "STEP1812-F-V1-HT1" "STEP1812-V1-F-HT1"
"150" "STEP2544-F-V1-L-HT1" "STEP2544-V1-F-L-HT1"
"151" "STEP1125-F-V1-HT1" "STEP1125-V1-F-HT1"
"153" "STEP2648-F-V1-L-HT1" "STEP2648-V1-F-L-HT1"
"154" "STEP1573-F-V1-HT1" "STEP1573-V1-F-HT1"
"155" "STEP1954-F-V1-HT1" "STEP1954-V1-F-HT1"
"156" "STEP1115-F-V1-HT1" "STEP1115-V1-F-HT1"
"157" "STEP2587-F-V1-R-HT1" "STEP2587-V1-F-R-HT1"
"158" "STEP1480-F-V1-HT1" "STEP1480-V1-F-HT1"
"159" "STEP2648-F-V1-R-HT1" "STEP2648-V1-F-R-HT1"
"160" "STEP1503-F-V1-HT1" "STEP1503-V1-F-HT1"
"162" "STEP1300-F-V1-HT1" "STEP1300-V1-F-HT1"
"163" "STEP2237-F-V1-L-HT1" "STEP2237-V1-F-L-HT1"
"164" "STEP2468-F-V1-R-HT1" "STEP2468-V1-F-R-HT1"
"165" "STEP1022-F-V1-HT1" "STEP1022-V1-F-HT1"
"166" "STEP2207-F-V1-L-HT1" "STEP2207-V1-F-L-HT1"
"168" "STEP1842-F-V1-HT1" "STEP1842-V1-F-HT1"
"169" "STEP2345-F-V1-R-HT1" "STEP2345-V1-F-R-HT1"
"171" "STEP2162-F-V1-R-HT1" "STEP2162-V1-F-R-HT1"
"172" "STEP2603-F-V1-R-HT1" "STEP2603-V1-F-R-HT1"
"173" "STEP2074-F-V1-L-HT1" "STEP2074-V1-F-L-HT1"
"174" "STEP2203-F-V1-R-HT1" "STEP2203-V1-F-R-HT1"
"175" "STEP1245-F-V1-HT1" "STEP1245-V1-F-HT1"
"176" "STEP1842-F-V3-HT1" "STEP1842-V3-F-HT1"
"177" "STEP1403-F-V1-HT1" "STEP1403-V1-F-HT1"
"178" "STEP1677-F-V1-HT1" "STEP1677-V1-F-HT1"
"179" "STEP1491-F-V1-HT1" "STEP1491-V1-F-HT1"
